currentDirection,currentSpeed,secondarySwellDirection,secondarySwellHeight,secondarySwellPeriod,swellDirection,swellHeight,swellPeriod,waterTemperature,waveDirection,waveHeight,wavePeriod,windDirection,windSpeed,windWaveDirection,windWaveHeight,windWavePeriod,DateTime
268.9,0.06,127.97,0.25,10.4,101.88,0.44,6.16,11.53,102.25,0.45,6.05,123.15,2.83,82.92,0.05,2.67,2026-05-23 21:00:00
284.76,0.05,127.95,0.25,10.27,102.72,0.43,6.19,11.5,103.6,0.44,6,124.73,2.98,127.6,0.08,1.69,2026-05-23 22:00:00
298.18,0.04,127.92,0.25,10.14,104.19,0.42,6.11,11.47,105.31,0.44,5.91,136.87,2.81,87.08,0.07,2.74,2026-05-23 23:00:00
312.31,0.02,127.92,0.24,10.01,105.96,0.42,5.98,11.44,106.8,0.43,5.84,143.44,2.56,94.19,0.06,2.66,2026-05-24
319.57,0.01,127.92,0.24,9.89,107.68,0.42,5.9,11.42,108.32,0.42,5.78,150.17,2.53,98.4,0.05,2.65,2026-05-24 01:00:00
175.85,0.01,127.97,0.24,9.78,109.09,0.41,5.87,11.39,110.27,0.42,5.71,156.06,2.55,103.9,0.06,2.7,2026-05-24 02:00:00
172.22,0.02,127.99,0.23,9.42,110.92,0.41,5.78,11.37,111.81,0.41,5.67,142.09,2.61,40.81,0.03,3.59,2026-05-24 03:00:00
183.04,0.04,128.09,0.23,9.32,112.4,0.4,5.79,11.34,113.19,0.41,5.63,128.04,2.66,95.17,0.06,2.68,2026-05-24 04:00:00
190.93,0.06,128.11,0.23,9.21,113.73,0.4,5.76,11.32,114.62,0.41,5.55,125.8,2.92,90.97,0.07,2.74,2026-05-24 05:00:00
194.14,0.07,128.09,0.23,9.11,115.9,0.4,5.68,11.31,115.97,0.41,5.51,124.44,2.95,121.43,0.08,1.65,2026-05-24 06:00:00
197.21,0.08,128.32,0.23,9.02,116.87,0.4,5.67,11.31,116.93,0.43,5.36,113.18,2.89,78.94,0.1,2.84,2026-05-24 07:00:00
199.36,0.08,128.24,0.22,9.1,118.16,0.41,5.61,11.31,117.55,0.45,5.14,103.03,3.26,107.66,0.16,1.96,2026-05-24 08:00:00
198.79,0.08,128.39,0.22,9.02,118.96,0.43,5.42,11.32,118.46,0.47,4.96,101.96,3.53,113.08,0.18,1.99,2026-05-24 09:00:00
193.98,0.08,128.26,0.21,9.18,119.75,0.45,5.33,11.33,119.55,0.5,4.83,115.79,3.82,116.46,0.2,2.12,2026-05-24 10:00:00
190.07,0.08,128.4,0.22,9.11,121.8,0.45,5.45,11.34,120.59,0.53,4.67,123.95,4.18,117.02,0.27,2.39,2026-05-24 11:00:00
189.81,0.07,128.81,0.21,8.9,123.6,0.48,5.23,11.35,121.25,0.56,4.58,117.67,3.74,114.59,0.27,2.34,2026-05-24 12:00:00
187.25,0.06,128.28,0.2,9.18,126.53,0.5,5.23,11.34,121.4,0.59,4.52,112.21,3.83,106.83,0.3,2.48,2026-05-24 13:00:00
181.69,0.06,128.57,0.2,9.11,128.91,0.52,5.22,11.33,120.8,0.63,4.47,101.58,4.6,99.79,0.34,2.6,2026-05-24 14:00:00
172.91,0.05,127.94,0.18,9.48,130.5,0.54,5.2,11.31,119.7,0.67,4.43,94.72,5,93.52,0.38,2.72,2026-05-24 15:00:00
158.45,0.04,128.42,0.18,9.43,130.4,0.57,5.2,11.3,118.94,0.71,4.43,86.37,4.87,92.97,0.41,2.78,2026-05-24 16:00:00
146.18,0.04,127.85,0.17,9.85,128,0.61,5.19,11.29,118.96,0.74,4.48,87.78,4.75,94.92,0.41,2.72,2026-05-24 17:00:00
149.56,0.05,128.77,0.16,9.81,126.01,0.69,5.02,11.27,119.36,0.76,4.59,58.3,4.55,77.14,0.32,2.52,2026-05-24 18:00:00
154.65,0.06,129.93,0.17,9.74,127.91,0.69,5.16,11.25,119.23,0.78,4.66,64.92,4.94,77.33,0.36,2.66,2026-05-24 19:00:00
150.92,0.05,123.01,0.06,17.5,127.89,0.7,5.29,11.23,119.37,0.81,4.72,74.06,5.03,85.29,0.39,2.75,2026-05-24 20:00:00
147.93,0.05,123.03,0.06,17.47,128.2,0.7,5.45,11.22,119.76,0.84,4.76,81.64,5.09,94.31,0.45,2.92,2026-05-24 21:00:00
156.12,0.06,123.06,0.06,17.45,126.05,0.73,5.47,11.21,120.72,0.87,4.81,93.01,5.22,103.13,0.45,2.92,2026-05-24 22:00:00
166.29,0.07,123.11,0.06,17.43,125.35,0.77,5.45,11.2,122.1,0.91,4.88,102.99,4.97,107.82,0.42,2.76,2026-05-24 23:00:00
175.98,0.08,123.19,0.06,17.42,126.48,0.82,5.51,11.19,123.54,0.95,4.97,110.64,4.85,111.49,0.43,2.78,2026-05-25
184.61,0.08,123.29,0.06,17.4,126.99,0.87,5.51,11.19,124.88,0.99,5.08,113.86,4.67,114.14,0.4,2.7,2026-05-25 01:00:00
195.64,0.08,122.94,0.07,16.63,126.54,0.94,5.52,11.18,126.22,1.02,5.2,108.3,4.7,117,0.34,2.51,2026-05-25 02:00:00
213.46,0.07,123.02,0.07,16.7,127.17,1.02,5.59,11.18,127.51,1.07,5.37,107.29,4.42,123.32,0.28,2.3,2026-05-25 03:00:00
237.26,0.06,123.2,0.07,16.7,128.23,1.08,5.67,11.18,128.69,1.11,5.53,107.22,4.03,133.22,0.21,2.04,2026-05-25 04:00:00
265.46,0.06,123.46,0.07,16.73,129.14,1.12,5.76,11.18,129.62,1.14,5.69,116.71,3.49,144.58,0.13,1.78,2026-05-25 05:00:00
291.85,0.07,123.97,0.07,16.76,130.13,1.15,5.86,11.19,130.14,1.16,5.85,92.33,1.8,38.46,0.02,3.5,2026-05-25 06:00:00
311.2,0.09,124.2,0.06,16.57,130.44,1.07,5.75,11.21,130.45,1.07,5.75,90.92,1.56,38.13,0.01,3.48,2026-05-25 07:00:00
324.26,0.11,124.37,0.06,16.35,130.64,1.07,5.86,11.24,130.64,1.07,5.86,129.43,1.63,38.14,0.01,3.48,2026-05-25 08:00:00
334.15,0.13,33.31,0.09,3.33,130.77,1.07,5.97,11.29,130.78,1.07,5.97,174.41,1.84,36.84,0.01,3.5,2026-05-25 09:00:00
341.68,0.15,37.5,0.07,3.43,131.06,1.06,6.04,11.35,131.07,1.07,6.04,276.15,3.65,316.42,0.08,2.47,2026-05-25 10:00:00
348.98,0.16,284.27,0.18,2.64,131.22,1.06,6.12,11.41,131.38,1.07,6.1,296.55,3.12,334.43,0.06,2.75,2026-05-25 11:00:00
355.11,0.17,294.36,0.17,2.54,131.36,1.06,6.22,11.56,131.4,1.06,6.21,290.01,2.77,18.94,0.02,3.56,2026-05-25 12:00:00
0.06,0.17,303.46,0.15,2.75,131.38,1.05,6.34,11.83,131.52,1.05,6.31,280.25,3.27,325.88,0.06,2.75,2026-05-25 13:00:00
3.57,0.16,123.76,0.07,16.59,131.49,1.03,6.42,12.09,131.56,1.04,6.41,273.35,3.31,315.51,0.1,2.66,2026-05-25 14:00:00
3.86,0.15,278.65,0.15,2.56,131.49,1.12,6.75,12.32,131.57,1.12,6.74,277.61,3.54,311.82,0.05,2.66,2026-05-25 15:00:00
0.48,0.15,275.61,0.15,2.42,131.41,1.11,6.83,12.52,131.43,1.11,6.83,282.62,3.03,22.17,0.01,3.53,2026-05-25 16:00:00
353.5,0.18,276.45,0.13,2.44,131.23,1.1,6.91,12.67,131.24,1.1,6.9,286.08,2.67,24.96,0,3.48,2026-05-25 17:00:00
354.7,0.2,271.01,0.09,2.39,130.96,1.09,6.99,12.73,130.97,1.09,6.99,264.53,2.07,30.09,0,3.86,2026-05-25 18:00:00
1.34,0.22,270.03,0.08,2.38,130.68,1.07,7.03,12.71,130.68,1.07,7.03,263.23,2.58,30.1,0,3.86,2026-05-25 19:00:00
7.52,0.21,268.94,0.08,2.37,130.38,1.06,7.05,12.64,130.38,1.06,7.05,284.58,3.66,22.27,0.07,3.48,2026-05-25 20:00:00
10.15,0.21,273.57,0.1,2.42,130.03,1.05,7.06,12.54,130.04,1.05,7.06,298.45,3.92,19.19,0.08,3.5,2026-05-25 21:00:00
10.05,0.21,309.71,0.12,23.85,129.57,1.03,7.07,12.43,129.59,1.04,7.06,304.97,3.56,19.33,0.08,3.58,2026-05-25 22:00:00
10.25,0.23,120.39,0.07,16.52,129.14,1.02,7.1,12.33,129.12,1.02,7.08,311.94,3.24,20.74,0.07,3.6,2026-05-25 23:00:00
11.61,0.24,329.38,0.12,23.83,128.7,1,7.13,12.24,128.66,1.01,7.11,312.78,3.1,21.57,0.03,3.59,2026-05-26
13.76,0.26,327.35,0.11,2.22,128.25,0.99,7.16,12.17,128.24,0.99,7.15,308.72,3.2,21.86,0.02,3.54,2026-05-26 01:00:00
15.98,0.26,324.9,0.1,2.22,127.82,0.98,7.19,12.08,127.82,0.98,7.19,303.11,3.14,30.1,0,3.86,2026-05-26 02:00:00
18.3,0.25,325.96,0.09,2.23,127.42,0.96,7.23,12.02,127.42,0.96,7.23,292.49,3.07,30.09,0,3.86,2026-05-26 03:00:00
20.26,0.23,327.85,0.09,2.24,127.05,0.95,7.26,11.97,127.06,0.95,7.26,278.95,3.13,30.1,0,3.86,2026-05-26 04:00:00
22.08,0.2,354.2,0.1,2.26,126.74,0.94,7.28,11.92,126.74,0.94,7.28,275.62,3.3,19.16,0.01,3.48,2026-05-26 05:00:00
22.85,0.18,121.59,0.07,16.45,126.52,0.93,7.3,11.9,126.54,0.93,7.3,284.42,3.21,18.96,0.06,3.5,2026-05-26 06:00:00
24.4,0.16,300.01,0.11,2.24,126.28,0.93,7.37,11.95,126.28,0.94,7.36,289.22,3.07,19.4,0.03,3.55,2026-05-26 07:00:00
26.18,0.14,303.19,0.1,2.19,126.1,0.93,7.41,12.07,126.1,0.93,7.41,284.35,2.7,19.15,0.01,3.48,2026-05-26 08:00:00
26.99,0.13,303.56,0.1,2.19,126.01,0.92,7.44,12.27,126,0.92,7.44,265.38,2.35,30.09,0,3.86,2026-05-26 09:00:00
26.8,0.11,303.82,0.09,2.19,125.97,0.91,7.47,12.54,125.97,0.91,7.47,240.24,2.38,30.09,0,3.86,2026-05-26 10:00:00
34.81,0.06,122.37,0.11,16.47,126.09,0.9,7.46,12.85,126.1,0.9,7.46,214.86,3.16,30.09,0,3.86,2026-05-26 11:00:00
158.67,0.02,122.69,0.08,16.47,126.74,0.89,7.43,13.13,126.93,0.89,7.39,202.21,4.21,204.55,0.07,1.65,2026-05-26 12:00:00
210.46,0.05,123.01,0.08,16.47,126.69,0.88,7.47,13.19,127.77,0.89,7.33,197,4.9,196.42,0.14,2.06,2026-05-26 13:00:00
226.69,0.08,123.31,0.08,16.47,126.61,0.86,7.5,13.02,129.32,0.89,7.19,189.77,5.5,190.76,0.21,2.31,2026-05-26 14:00:00
240.05,0.09,123.58,0.08,16.46,126.68,0.84,7.52,12.89,131.59,0.89,6.99,185.79,5.96,188.15,0.28,2.42,2026-05-26 15:00:00
254.92,0.11,123.81,0.08,16.45,126.95,0.82,7.5,12.85,134.31,0.9,6.76,184.45,6.31,185.64,0.35,2.57,2026-05-26 16:00:00
269.46,0.12,123.97,0.08,16.45,127.62,0.81,7.42,12.82,137.06,0.91,6.52,188.13,6.2,186.08,0.4,2.67,2026-05-26 17:00:00
282.22,0.13,124.31,0.08,16.44,127.64,0.79,7.4,12.74,140.2,0.93,6.27,186.48,6.65,185.3,0.47,2.84,2026-05-26 18:00:00
294.18,0.14,141.23,0.22,3.71,129.31,0.79,7.14,12.66,144.02,0.95,6.01,195.24,6.73,191.31,0.5,2.88,2026-05-26 19:00:00
,,124.35,0.08,16.41,131.6,0.8,6.88,,148.37,0.97,5.78,205.07,6.94,199.54,0.52,2.95,2026-05-26 20:00:00
,,146.76,0.39,3.97,134.6,0.84,6.74,,153.24,1.02,5.69,214.14,7,207.92,0.56,3.04,2026-05-26 21:00:00
,,154.08,0.45,4.09,139.28,0.84,6.45,,157.54,1,5.55,224.95,7.18,220.05,0.52,2.97,2026-05-26 22:00:00
,,161.32,0.44,3.93,143.72,0.84,6.29,,160.67,0.98,5.51,236.71,7.19,231.26,0.48,2.89,2026-05-26 23:00:00
,,250.24,0.16,26.29,146.25,0.82,6.25,,161.87,0.94,5.54,241.83,6.65,235.86,0.43,2.81,2026-05-27
,,124.55,0.08,16.55,146.93,0.77,6.3,,163.01,0.9,5.56,240.97,6.38,235.65,0.45,2.76,2026-05-27 01:00:00
,,124.61,0.08,16.55,148.12,0.74,6.3,,164.2,0.86,5.57,238.92,6.15,234.67,0.41,2.72,2026-05-27 02:00:00
,,124.64,0.07,16.52,148.57,0.71,6.33,,165.72,0.83,5.55,237.89,5.98,235.79,0.4,2.72,2026-05-27 03:00:00
,,213.14,0.24,3.98,151.43,0.67,6.25,,166.81,0.8,5.55,240.42,5.87,237.87,0.38,2.58,2026-05-27 04:00:00
,,220.15,0.24,3.85,152.94,0.64,6.22,,167.56,0.77,5.56,242.36,5.43,239.22,0.35,2.51,2026-05-27 05:00:00
,,230.25,0.3,3.49,159.54,0.63,5.98,,165.89,0.72,5.67,243.26,4.58,240.32,0.24,2.07,2026-05-27 06:00:00
,,227.92,0.27,3.54,158.02,0.64,6.07,,164.86,0.68,5.72,242.47,4.63,242.61,0.2,2.11,2026-05-27 07:00:00
,,124.51,0.08,15.43,158.59,0.6,6.05,,163.79,0.65,5.77,239.92,4.51,244.14,0.2,1.97,2026-05-27 08:00:00
,,124.34,0.08,15.39,157.99,0.57,6.08,,162.68,0.62,5.82,240.43,4.6,244.58,0.19,1.93,2026-05-27 09:00:00
,,124.19,0.08,15.35,158.12,0.54,6.08,,161.35,0.59,5.88,242.04,4.41,247.76,0.22,1.8,2026-05-27 10:00:00
,,124.02,0.08,15.32,157.55,0.52,6.08,,160.13,0.56,5.93,245.48,4.31,248.75,0.2,1.76,2026-05-27 11:00:00
,,123.88,0.07,15.3,157.44,0.51,6.05,,158.43,0.53,6,242.93,3.81,21.86,0.17,3.6,2026-05-27 12:00:00
,,123.75,0.07,15.28,156.21,0.5,6.11,,156.47,0.51,6.09,239.29,3.68,23.63,0.08,3.54,2026-05-27 13:00:00
,,123.63,0.07,15.27,154.4,0.48,6.2,,154.73,0.49,6.17,240.25,3.76,26.84,0.02,3.57,2026-05-27 14:00:00
,,123.51,0.07,15.26,153.11,0.46,6.23,,153.23,0.46,6.21,242.66,3.07,28.98,0.02,3.52,2026-05-27 15:00:00
,,123.31,0.07,15.17,152.13,0.44,6.23,,152.14,0.44,6.22,255.26,2.62,31.85,0.06,3.48,2026-05-27 16:00:00
,,124.2,0.08,14.44,151.25,0.42,6.25,,151.25,0.43,6.25,288.1,2.81,30.09,0.04,3.86,2026-05-27 17:00:00
,,124.29,0.08,14.46,149.91,0.41,6.41,,149.91,0.41,6.41,311.36,1.92,30.1,0,3.86,2026-05-27 18:00:00
,,124.14,0.08,14.49,149.69,0.4,6.4,,149.69,0.4,6.4,316.55,2.68,30.1,0,3.86,2026-05-27 19:00:00
,,350.28,0.11,21.61,149.14,0.4,6.21,,149.14,0.4,6.21,331.28,3.71,30.1,0,3.86,2026-05-27 20:00:00
,,353.28,0.13,23.89,146.8,0.41,6.02,,145.05,0.42,5.75,351.63,5.16,353.34,0.11,1.89,2026-05-27 21:00:00
,,123.91,0.08,14.57,147.71,0.38,6.17,,123.72,0.47,5.08,4.02,6.19,3.56,0.28,2.41,2026-05-27 22:00:00
,,123.84,0.08,14.58,145.36,0.36,6.16,,77.95,0.54,4.57,8.37,6.14,8.81,0.39,2.56,2026-05-27 23:00:00
,,123.75,0.08,14.59,125.58,0.38,5.66,,64.98,0.59,4.42,6.14,5.28,10.66,0.42,2.58,2026-05-28
,,141.83,0.25,6.27,77.59,0.48,4.86,,63.95,0.59,4.52,358.13,4.42,0.11,0.26,2.03,2026-05-28 01:00:00
,,141.1,0.24,6.37,67.49,0.54,4.78,,65.2,0.56,4.64,350.98,4.16,357.34,0.13,1.81,2026-05-28 02:00:00
,,140.24,0.23,6.48,69.62,0.52,4.89,,66.61,0.54,4.74,347.52,4.15,355.29,0.13,1.85,2026-05-28 03:00:00
,,138.82,0.22,6.6,73.23,0.45,5.01,,67.98,0.53,4.81,348.19,4.28,356.11,0.19,1.93,2026-05-28 04:00:00
,,137.41,0.22,6.72,72.98,0.49,5.04,,69.23,0.51,4.87,351.8,4.31,354.98,0.12,1.85,2026-05-28 05:00:00
,,134.37,0.21,6.97,75.11,0.47,5.16,,69.9,0.5,4.97,3.49,4.03,0.97,0.12,1.84,2026-05-28 06:00:00
,,143.55,0.19,6.76,75.11,0.47,5.17,,71.28,0.48,5.02,7.31,3.76,15.08,0.09,2.83,2026-05-28 07:00:00
,,143.11,0.19,6.79,76.27,0.46,5.24,,72.74,0.48,5.08,8.71,3.58,17.22,0.09,2.83,2026-05-28 08:00:00
,,142.71,0.18,6.84,76.46,0.45,5.25,,74.38,0.47,5.14,10.11,3.6,21.05,0.07,2.73,2026-05-28 09:00:00
,,142.36,0.18,6.87,77.14,0.45,5.29,,76.37,0.45,5.25,17.51,3.09,27.55,0.03,3.57,2026-05-28 10:00:00
,,147.02,0.16,6.81,78.5,0.44,5.36,,78.46,0.44,5.36,35.07,2.64,28.81,0.01,3.49,2026-05-28 11:00:00
,,146.78,0.16,6.83,80.45,0.43,5.47,,80.46,0.43,5.47,52.14,2.1,30.1,0,3.86,2026-05-28 12:00:00
,,146.56,0.16,6.86,82.27,0.42,5.59,,82.27,0.42,5.59,84.43,1.27,30.09,0,3.86,2026-05-28 13:00:00
,,146.39,0.17,6.88,84.03,0.42,5.68,,84.03,0.42,5.68,173.47,1.86,30.09,0,3.86,2026-05-28 14:00:00
,,146.28,0.2,6.9,86.7,0.41,5.67,,86.78,0.42,5.66,254.6,1.88,30.07,0.04,3.5,2026-05-28 15:00:00
,,77.74,0.17,8.97,87.2,0.4,5.68,,78.1,0.44,5.27,339.92,4.15,327.76,0.18,1.95,2026-05-28 16:00:00
,,77.53,0.19,8.99,89.37,0.4,5.83,,66.05,0.46,5,353.96,3.93,348.99,0.23,2.35,2026-05-28 17:00:00
,,344.79,0.21,2.6,71.56,0.43,5.41,,68.69,0.44,5.31,332.96,4.01,354.81,0.06,2.68,2026-05-28 18:00:00
,,77.45,0.2,9.01,75.77,0.42,5.61,,71.36,0.43,5.44,341.98,3.96,353.3,0.07,2.76,2026-05-28 19:00:00
,,77.74,0.19,9.05,78.94,0.4,5.82,,72.62,0.43,5.51,346.81,4.16,337.84,0.14,1.9,2026-05-28 20:00:00
,,77.77,0.2,9.04,83.56,0.4,6.07,,71.26,0.43,5.46,344.12,4.75,346.51,0.17,2.19,2026-05-28 21:00:00
,,77.86,0.21,9.02,79.7,0.41,5.95,,70.46,0.44,5.45,343.14,4.42,349,0.15,2.02,2026-05-28 22:00:00
,,77.95,0.21,8.99,74.38,0.41,5.72,,72.46,0.43,5.56,332.47,3.93,342.03,0.12,1.68,2026-05-28 23:00:00
,,78.06,0.21,8.96,75.07,0.41,5.75,,73.97,0.43,5.63,323.76,3.68,328.11,0.11,1.64,2026-05-29
,,78.13,0.21,8.92,75.77,0.41,5.79,,74.72,0.43,5.67,323.4,3.37,326.36,0.13,1.64,2026-05-29 01:00:00
,,78.17,0.22,8.86,75.61,0.41,5.77,,74.97,0.43,5.69,325.09,3.19,354.86,0.12,2.66,2026-05-29 02:00:00
,,78.17,0.22,8.8,75.29,0.42,5.74,,75.17,0.43,5.71,328.37,2.9,354.59,0.1,2.57,2026-05-29 03:00:00
,,78.11,0.22,8.72,75.22,0.42,5.76,,75.07,0.44,5.72,328.05,2.6,354.45,0.11,2.57,2026-05-29 04:00:00
,,78.74,0.21,8.98,75,0.43,5.76,,74.92,0.44,5.75,328.72,2.33,22.54,0.09,3.5,2026-05-29 05:00:00
,,78.86,0.21,8.93,74.72,0.43,5.88,,74.72,0.44,5.88,351.21,1.75,30.09,0.05,3.86,2026-05-29 06:00:00
,,78.82,0.21,8.88,74.55,0.44,5.91,,74.54,0.44,5.9,354.24,1.34,30.03,0.01,3.48,2026-05-29 07:00:00
,,78.73,0.23,8.84,74.46,0.45,5.95,,74.46,0.45,5.95,24.45,0.89,33.67,0,3.48,2026-05-29 08:00:00
,,78.6,0.23,8.8,74.42,0.46,5.99,,74.42,0.46,5.99,15.13,1.3,30.1,0,3.86,2026-05-29 09:00:00
,,78.44,0.24,8.76,74.45,0.46,6.04,,74.45,0.46,6.04,68.14,1.33,30.09,0,3.86,2026-05-29 10:00:00
,,78.28,0.25,8.73,75.04,0.47,6.02,,75.2,0.48,6,100.88,1.89,41.25,0.02,3.54,2026-05-29 11:00:00
,,78.14,0.26,8.73,76.49,0.48,6.02,,77.84,0.49,5.87,129.21,2.66,94.35,0.07,2.7,2026-05-29 12:00:00
,,83.92,0.29,8.62,76.89,0.49,6.1,,80.35,0.51,5.81,147.79,3.08,139.71,0.13,1.9,2026-05-29 13:00:00
,,83.45,0.31,8.68,77.05,0.49,6.21,,82.67,0.52,5.78,153.09,3.99,145.5,0.16,2.07,2026-05-29 14:00:00
,,125.56,0.05,14.83,76.24,0.49,6.39,,88.08,0.55,5.59,157.37,4.9,149.98,0.24,2.34,2026-05-29 15:00:00
,,314.07,0.03,2.33,78.61,0.5,6.34,,92.93,0.57,5.46,158.11,4.7,154.66,0.27,2.39,2026-05-29 16:00:00
,,314.14,0.02,2.33,83.39,0.53,6.16,,94.83,0.58,5.49,161.38,4.35,161.27,0.24,2.33,2026-05-29 17:00:00
,,103.2,0.12,3.24,78.56,0.5,6.65,,102.15,0.61,5.25,156.19,5.59,155.13,0.36,2.61,2026-05-29 18:00:00
,,167.35,0,27.61,80.79,0.5,6.6,,108.27,0.66,5.04,154.79,6.16,152.64,0.41,2.72,2026-05-29 19:00:00
,,262.59,0,2.72,81.06,0.49,6.77,,113.53,0.71,4.79,144.2,6.88,143.28,0.51,2.93,2026-05-29 20:00:00
,,262.55,0,2.68,82.16,0.47,6.95,,118.92,0.82,4.47,134.68,7.56,136.45,0.67,3.17,2026-05-29 21:00:00
,,276.23,0.02,2.65,85.43,0.46,7.01,,121.3,0.95,4.32,128.05,7.83,131.6,0.83,3.45,2026-05-29 22:00:00
,,352.64,0.03,3.88,96.4,0.47,6.87,,120.99,1.1,4.34,119.94,8.26,126.23,0.99,3.76,2026-05-29 23:00:00
,,350.4,0.03,3.91,111.49,0.45,6.74,,118.64,1.26,4.44,112.13,9.51,120.51,1.18,4.09,2026-05-30
,,84.68,0.31,27.58,124.23,0.41,6.7,,115.33,1.49,4.6,107.12,10.48,115.65,1.44,4.41,2026-05-30 01:00:00
,,165.45,0.31,27.57,132.29,0.41,6.41,,112.2,1.78,4.87,106.03,11.18,112.14,1.73,4.77,2026-05-30 02:00:00
,,163.88,0.36,27.57,135.69,0.47,6.14,,109.34,2.03,5.17,102.36,11.79,109.07,1.97,5.1,2026-05-30 03:00:00
,,161.38,0.4,27.56,137.98,0.61,6.13,,105.7,2.24,5.46,93.28,11.93,103.86,2.15,5.4,2026-05-30 04:00:00
,,160.65,0.44,27.56,150.09,0.75,6.19,,100.85,2.43,5.76,83.17,12.12,96.46,2.31,5.71,2026-05-30 05:00:00
,,158.9,0.49,27.56,141.75,0.98,6.47,,96.65,2.59,6.02,67.09,11.47,89.17,2.37,5.93,2026-05-30 06:00:00
,,157.06,0.64,27.55,136.89,1.23,6.53,,91.51,2.63,6.18,54.16,12.33,79.11,2.31,6.04,2026-05-30 07:00:00
,,177.6,0.3,5.17,132.77,1.26,6.55,,84.06,2.72,6.23,48.75,12.93,71.48,2.41,6.13,2026-05-30 08:00:00
,,177.1,0.25,5.39,128.67,1.21,6.75,,76.41,2.85,6.28,46.43,12.45,65.64,2.57,6.15,2026-05-30 09:00:00
,,71.05,0.46,26.18,121.41,1.25,7.01,,71.09,2.94,6.37,43.9,11.63,60.24,2.64,6.18,2026-05-30 10:00:00
,,162.86,0.29,5.87,114.87,1.31,7.23,,68.21,2.95,6.49,41.45,11.13,56.63,2.62,6.24,2026-05-30 11:00:00
,,162.41,0.25,5.89,108.37,1.41,7.36,,66.77,2.9,6.59,39.22,10.96,53.25,2.5,6.24,2026-05-30 12:00:00
,,162.07,0.21,5.88,102.81,1.48,7.49,,66.15,2.82,6.65,39.03,9.75,51.01,2.35,6.16,2026-05-30 13:00:00
,,161.78,0.19,5.84,94.28,1.67,7.59,,66.24,2.71,6.7,38.92,9.2,46.67,2.05,5.83,2026-05-30 14:00:00
,,161.54,0.17,5.79,90.92,1.69,7.67,,66.43,2.59,6.71,38.72,8.68,46.06,1.89,5.67,2026-05-30 15:00:00
,,192.83,0.03,5.63,85.47,1.79,7.61,,66.88,2.47,6.71,38.45,8.53,42.93,1.6,5.16,2026-05-30 16:00:00
,,197.81,0.03,6.03,83.77,1.79,7.53,,67.48,2.34,6.69,36.68,7.01,39.76,1.4,4.86,2026-05-30 17:00:00
,,196.67,0.02,6.11,74.68,1.98,7.14,,69.83,2.15,6.79,44.81,4.41,38.75,0.69,3.3,2026-05-30 18:00:00
,,198.13,0.02,6.1,74.79,1.9,7.07,,72.05,1.99,6.84,53.08,3.74,43.98,0.47,2.82,2026-05-30 19:00:00
,,197.81,0.02,6.13,75.66,1.8,7.04,,74.02,1.86,6.88,48.73,3.36,44.84,0.34,2.51,2026-05-30 20:00:00
,,194.5,0.01,6.15,77.15,1.63,6.88,,75.67,1.67,6.74,40.19,2.82,35.31,0.26,2.24,2026-05-30 21:00:00
,,194.7,0.01,6.14,77.89,1.55,6.83,,77.06,1.57,6.74,19.87,2.04,25.73,0.16,3.05,2026-05-30 22:00:00
,,194.37,0.01,6.15,78.7,1.47,6.78,,78.2,1.48,6.74,334.51,2.43,14.32,0.18,2.92,2026-05-30 23:00:00
,,190.71,0.01,6.16,79.77,1.39,6.78,,79.02,1.41,6.71,315.88,3.64,328.26,0.19,2.19,2026-05-31
,,190.59,0.01,6.21,80.58,1.32,6.77,,79.7,1.33,6.69,310.68,3.71,320.01,0.19,2.16,2026-05-31 01:00:00
,,187.5,0.01,6.27,81.24,1.25,6.75,,80.31,1.27,6.67,306.75,3.65,315.79,0.19,2.13,2026-05-31 02:00:00
,,187.5,0.01,6.39,81.83,1.19,6.74,,80.92,1.21,6.65,303.34,3.64,310.35,0.18,2.07,2026-05-31 03:00:00
,,187.5,0.01,6.51,82.42,1.14,6.73,,81.52,1.16,6.63,299.28,3.86,304.56,0.18,2.11,2026-05-31 04:00:00
,,289.61,0.12,25.03,83.13,1.1,6.73,,82.2,1.11,6.62,293.64,3.99,300.49,0.17,2.18,2026-05-31 05:00:00
,,287.74,0.11,25.04,83.9,1.05,6.75,,82.89,1.07,6.62,294.99,4.27,297.34,0.19,2.19,2026-05-31 06:00:00
,,187.5,0,7.5,85.02,1.02,6.79,,83.79,1.04,6.64,299.36,3.93,302.42,0.2,2.17,2026-05-31 07:00:00
,,293.23,0.17,25.04,85.92,1,6.81,,85.27,1.01,6.73,294.56,3.14,301.08,0.12,1.88,2026-05-31 08:00:00
,,297.32,0.18,2.74,87.42,0.99,6.89,,87.14,1,6.85,291.86,2.64,338.7,0.07,2.8,2026-05-31 09:00:00
,,294.15,0.18,2.55,89.19,0.99,7.02,,89.15,0.99,7.01,278.54,1.6,19.03,0.02,3.53,2026-05-31 10:00:00
,,293.15,0.16,2.54,91.13,0.99,7.19,,91.13,0.99,7.19,246.89,1.41,30.1,0,3.86,2026-05-31 11:00:00
,,288.46,0.13,2.55,92.93,0.99,7.36,,92.94,0.99,7.36,236.69,1.2,30.09,0,3.86,2026-05-31 12:00:00
,,287.93,0.1,2.56,94.5,1,7.52,,94.5,1,7.52,231.71,0.78,30.09,0.02,3.86,2026-05-31 13:00:00
